County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom Longitude Corrected,Bloom_Latitude
Alameda,Berkeley Aquatic Park,"N. end of main lagoon at foot of Addison St., Strawberry Creek link pipe",Caution,10/18/2024,Under investigation; Visual monitoring only-present bloom,This report is under investigation.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,10/8/2024 9:38,4722,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Friends of Five Creeks,Alameda,"N. end of main lagoon at foot of Addison St., Strawberry Creek link pipe",10/7/2024 0:00,,Region 2 - San Francisco Bay,,Berkeley Aquatic Park,Detail,-122.30227,37.86563
Alameda,Bethany Reservoir,Downstream of Banks Pumping Plant,Last verified >30 days ago,9/26/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",9/5/2024 13:30,4700,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),Alameda,Downstream of Banks Pumping Plant,8/26/2024 0:00,,Region 5 - Central Valley,California Department of Water Resources,Bethany Reservoir,Detail,-121.62013,37.78281
Alameda,Dyer Reservoir,Outlet,Last verified >30 days ago,9/26/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/11/2022 15:49,3272,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CA Department of Water Resources,Alameda,Outlet,4/25/2022 0:00,,Region 5 - Central Valley,California Department of Water Resources,Dyer Reservoir,Detail,-121.67477,37.75564
Alameda,Lago Los Osos,Lago Los Osos area,Caution,10/31/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:47,3971,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Lago Los Osos area,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lago Los Osos,Detail,-121.99665,37.56897
Alameda,Lake Chabot,lake-wide,Danger,11/12/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:56,3973,Danger,"STAY OUT OF THE WATER. Do not touch scum in the water or shore. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,lake-wide,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Chabot,Detail,-122.11221,37.72695
Alameda,Lake Del Valle,boat launch,None,11/12/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2024 9:47,4542,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,East Bay Regional Park Service,Alameda,boat launch,6/25/2024 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Del Valle,Detail,-121.70354,37.58604
Alameda,Lake Del Valle,East Beach,Last verified >30 days ago,9/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2024 9:51,4543,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,East Bay Regional Park Service,Alameda,East Beach,6/25/2024 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Del Valle,Detail,-121.69951,37.58431
Alameda,Lake Del Valle,Lake Del Valle,Last verified >90 days ago,7/3/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:07,3967,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Lake Del Valle,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Del Valle,Detail,-121.70371,37.58644
Alameda,Lake Del Valle,West Beach,Last verified >30 days ago,9/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2024 9:53,4544,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,East Bay Regional Park Service,Alameda,West Beach,6/25/2024 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Del Valle,Detail,-121.69367,37.57744
Alameda,Lake Merritt,at Lakeshore Ave. near Chalet (204LME010),None,11/8/2024,No cyano bloom w/testing; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.",6/9/2023 10:49,4156,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Rotary Nature Center Friends,Alameda,at Lakeshore Ave. near Chalet (204LME010),5/31/2023 0:00,,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.26112,37.80257
